Criminal Offenses - On campus,,,,,
Survey year,Institution name, Campus Name,Institution Size,Rape,Fondling
2014,A & W Healthcare Educators,Main Campus,40,0,0
2014,A T Still University of Health Sciences,Missouri Campus,3226,0,0
2014,A T Still University of Health Sciences,Arizona Campus,3226,0,0
2014,Aaniiih Nakoda College,Aaniiih Nakoda College,291,0,0
2014,Aaron's Academy of Beauty,Main Campus,28,0,0
2014,ABC Beauty Academy,Main Campus,30,0,0
2014,ABC Beauty College Inc,ABC Beauty College- Inc,38,0,0
2014,Abcott Institute,Main Campus,136,0,0
2014,Abdill Career College Inc,Main Campus,41,0,0
2014,Abilene Christian University,MAIN - ABILENE CAMPUS,4427,2,1
2014,Abilene Christian University,ACU- City Square Dallas,4427,0,0
2014,Abington Memorial Hospital Dixon School of Nursing,Main Campus,224,0,0
2014,Abraham Baldwin Agricultural College,Main Campus,3458,0,0
2014,Abraham Baldwin Agricultural College,ABAC on the Square in Moultrie,3458,0,0
2014,Academia Serrant Inc,Ponce,355,0,0
2014,Academia Serrant Inc,Sabana Grande,355,0,0
2014,Academy College,Main Campus,127,0,0
2014,Academy Di Capelli-School of Cosmetology,Main Campus,27,0,0
2014,Academy di Firenze,Main Campus,12,0,0
2014,Academy for Careers and Technology,Academy for Careers and Technology,39,0,0
2014,Academy for Five Element Acupuncture,Academy for Five Element Acupuncture,71,0,0
2014,Academy for Jewish Religion-California,Main Campus,65,0,0
2014,Academy for Nursing and Health Occupations,Main Campus,424,0,0
2014,Academy for Salon Professionals,Main Campus,125,0,0
2014,Academy for Salon Professionals,Main Campus,65,0,0
2014,Academy of Art University,Main Campus,15212,3,0
2014,Academy of Career Training,Academy of Career Training,147,0,0
2014,Academy of Career Training,Deltona,147,0,0
2014,Academy of Careers and Technology,Main Campus,204,0,0
2014,Academy of Chinese Culture and Health Sciences,Main Campus,146,0,0
2014,Academy of Cosmetology,ACADEMY OF COSMETOLOGY INC,29,0,0
2014,Academy of Cosmetology,Academy of Cosmetology,137,0,0
2014,Academy of Cosmetology,Main Campus,63,0,0
2014,Academy of Cosmetology and Esthetics NYC,Main Campus,107,0,0
2014,Academy of Couture Art,Main Campus,22,0,0
2014,Academy of Esthetics and Cosmetology,Main campus,36,0,0
2014,Academy of Hair Design-Beaumont,Main Campus,77,0,0
2014,Academy of Hair Design-Grenada,Branch Campus,55,0,0
2014,Academy of Hair Design-Jackson,Main Campus,86,0,0
2014,Academy of Hair Design-Jasper,Main Campus,59,0,0
2014,Academy of Hair Design-Las Vegas,Main Campus,45,0,0
2014,Academy of Hair Design-Lufkin,Main Campus,96,0,0
2014,Academy of Hair Design-Oklahoma City,Main Campus,38,0,0
2014,Academy of Hair Design-Pearl,Main Campus,50,0,0
2014,Academy of Hair Design-Salem,Main Campus,58,0,0
2014,Academy of Hair Design-Springfield,Academy of Hair Design,101,0,0
2014,Academy of Hair Technology,Main Campus,77,0,0
2014,Academy of Healing Arts Massage & Facial Skin Care,Academy of Palm Beach,66,0,0
2014,Academy of Interactive Entertainment,Main Campus,77,0,0
2014,Academy of Massage and Bodywork,Academy of Massage and Bodywork,48,0,0
2014,Academy of Natural Therapy Inc,Main Campus,54,0,0
2014,Academy of Salon and Spa,Mellie's Inc. - Academy of Salon & Spa,102,0,0
2014,Academy of Salon Professionals,Main Campus,25,0,0
2014,Academy of Vocal Arts,Academy of Vocal Arts,28,0,0
2014,Acaydia School of Aesthetics,Main Campus,22,0,0
2014,Access Careers,Main Campus,286,0,0
2014,Access Careers,ACCESS CAREERS,38,0,0
2014,Ace Computer Training Center,Main Campus,162,0,0
2014,Ace Computer Training Center,Ace Computer Training Center - Extension Campus,162,0,0
2014,Ace Cosmetology and Barber Training Center,Ace Cosmetology & Barber Training Center,14,0,0
2014,Acupuncture and Integrative Medicine College-Berkeley,Acupuncture and Integrative Medicine College- Berkeley,138,0,0
2014,Adams State University,Adams State University,3154,0,1
2014,Adelphi University,Main Campus,7610,3,1
2014,Adelphi University,Adelphi- Manhattan Center,7610,0,0
2014,Adelphi University,Adelphi- Hudson Valley Center,7610,0,0
2014,Adelphi University,Hauppauge Center,7610,0,0
2014,Adirondack Beauty School,Main Campus,34,0,0
2014,Adirondack Community College,Main Campus,4247,1,0
2014,Adler Graduate School,Main Campus,368,0,0
2014,Adler University,Chicago Campus,1004,0,0
2014,Adrian College,Main Campus,1641,0,1
2014,Adrian's College of Beauty Modesto,Main Campus,280,0,0
2014,Adrian's College of Beauty Modesto,Adrians Beauty College of Tracy,280,0,0
2014,Adrian's College of Beauty Turlock,Adrians Beauty College of Turlock,133,0,0
2014,Adult and Community Education-Hudson,Main Campus,109,0,0
2014,Adult and Continuing Education-BCTS,Main Campus,90,0,0
2014,Adult and Continuing Education-BCTS,Bergen County Vocational High School,90,0,0
2014,Advance Beauty College,Main Campus,474,0,0
2014,Advance Beauty Techs Academy,Main Campus,50,0,0
2014,Advance Science Institute,Main Campus,34,0,0
2014,Advance Tech College,ADVANCE TECH COLLEGE,5,0,0
2014,Advanced Barber College and Hair Design,Main Campus,242,0,0
2014,Advanced Beauty College,Advanced Beauty College,58,0,0
2014,Advanced Career Institute,Main Campus,253,0,0
2014,Advanced College,ADVANCED COLLEGE,125,0,0
2014,Advanced College of Cosmetology,Main Campus,45,0,0
2014,Advanced Computing Institute,Main Campus,354,0,0
2014,Advanced Institute of Hair Design-Glendale,VC Beauty School,82,0,0
