VAWA Offenses - Public Property
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,177834,A T Still University of Health Sciences,1,Missouri Campus,3226,0,0,0
2014,177834,A T Still University of Health Sciences,2,Arizona Campus,3226,0,0,0
2014,222178,Abilene Christian University,1,MAIN - ABILENE CAMPUS,4427,0,0,0
2014,222178,Abilene Christian University,2,ACU- City Square Dallas,4427,0,0,0
2014,451079,Academy for Five Element Acupuncture,1,Academy for Five Element Acupuncture,71,0,0,0
2014,457271,Academy for Jewish Religion-California,1,Main Campus,65,0,0,0
2014,108269,Academy of Chinese Culture and Health Sciences,1,Main Campus,146,0,0,0
2014,210508,Academy of Vocal Arts,1,Academy of Vocal Arts,28,0,0,0
2014,384306,Acupuncture and Integrative Medicine College-Berkeley,1,Acupuncture and Integrative Medicine College- Berkeley,138,0,0,0
2014,188429,Adelphi University,1,Main Campus,7610,0,0,0
2014,188429,Adelphi University,2,Adelphi- Manhattan Center,7610,0,0,0
2014,188429,Adelphi University,4,Adelphi- Hudson Valley Center,7610,0,0,0
2014,188429,Adelphi University,5,Hauppauge Center,7610,0,0,0
2014,374024,Adler Graduate School,1,Main Campus,368,0,0,0
2014,142832,Adler University,1,Chicago Campus,1004,0,0,0
2014,168528,Adrian College,1,Main Campus,1641,0,0,0
2014,133872,Adventist University of Health Sciences,1,Main Campus,2090,1,0,0
2014,133872,Adventist University of Health Sciences,2,Adventist University of Health Sciences-Denver,2090,0,0,0
2014,138600,Agnes Scott College,1,Main Campus,873,0,0,0
2014,152822,AIB College of Business,1,Main Campus,1014,0,0,0
2014,102580,Alaska Bible College,1,Main Campus,46,0,0,0
2014,102669,Alaska Pacific University,1,Main Campus,579,0,0,0
2014,188526,Albany College of Pharmacy and Health Sciences,1,Albany College of Pharmacy and Health Sciences,1563,0,0,0
2014,188526,Albany College of Pharmacy and Health Sciences,2,Vermont Campus,1563,0,0,0
2014,188535,Albany Law School,1,Main Campus,475,0,0,0
2014,188580,Albany Medical College,1,Albany Medical College,823,0,0,0
2014,128498,Albertus Magnus College,1,Main Campus,1550,0,0,0
2014,168546,Albion College,1,Main Campus,1268,0,0,0
2014,210571,Albright College,1,ALBRIGHT COLLEGE,2393,0,0,0
2014,210571,Albright College,2,Bethlehem Campus,2393,0,0,0
2014,210571,Albright College,3,Harrisburg Campus,2393,0,0,0
2014,210571,Albright College,4,Lancaster Campus,2393,0,0,0
2014,210571,Albright College,5,Blue Bell Campus,2393,0,0,0
2014,210571,Albright College,6,Allentown Campus,2393,0,0,0
2014,210571,Albright College,7,Pottstown Campus,2393,0,0,0
2014,210571,Albright College,8,Media Campus,2393,0,0,0
2014,210571,Albright College,9,Phoenixville Campus,2393,0,0,0
2014,210571,Albright College,10,Mesa- Arizona,2393,0,0,0
2014,210571,Albright College,11,Carbon - Schuylkill,2393,0,0,0
2014,237118,Alderson Broaddus University,1,Main Campus,1108,0,0,0
2014,188641,Alfred University,1,Main Campus,2310,0,0,0
2014,156189,Alice Lloyd College,1,Main Campus,657,0,0,0
2014,210669,Allegheny College,1,Main Campus,2023,0,0,0
2014,200873,Allegheny Wesleyan College,1,Main Campus,62,0,0,0
