Combined,Forible,Non-forcible,lats,lons,name,perc,size,state
0.0,0.0,0.0,31.481889,-83.528281,Abraham Baldwin Agricultural College,0.0,2855.0,GA
0.0,0.0,0.0,31.481889,-83.528281,Abraham Baldwin Agricultural College,0.0,2855.0,GA
0.0,0.0,0.0,37.477238,-105.880943,Adams State University,0.0,7826.0,CO
0.0,0.0,0.0,34.783368,-86.568502,Alabama A & M University,0.0,5849.0,AL
0.0,0.0,0.0,32.364317,-86.295677,Alabama State University,0.0,5590.0,AL
0.0,0.0,0.0,31.571395,-84.14306,Albany State University,0.0,3456.0,GA
0.0,0.0,0.0,31.877216,-91.142854,Alcorn State University,0.0,3096.0,MS
0.0,0.0,0.0,31.44145,-100.466495,Angelo State University,0.0,6266.0,TX
0.0,0.0,0.0,36.214844,-81.680234,Appalachian State University,0.0,13762.0,NC
0.0,0.0,0.0,33.421922,-111.940011,Arizona State University-Tempe,0.0,45693.0,AZ
0.0,0.0,0.0,35.842779,-90.680478,Arkansas State University-Main Campus,0.0,10568.0,AR
0.0,0.0,0.0,35.295227,-93.13233,Arkansas Tech University,0.0,5576.0,AR
0.0,0.0,0.0,31.978109,-81.160409,Armstrong State University,0.0,5747.0,GA
0.0,0.0,0.0,34.805625,-86.96514,Athens State University,0.0,2574.0,AL
0.0,0.0,0.0,33.70893,-84.404659,Atlanta Metropolitan State College,0.0,1917.0,GA
2.0,0.0,2.0,32.600201,-85.492409,Auburn University,0.0,22469.0,AL
0.0,0.0,0.0,32.369939,-86.177351,Auburn University at Montgomery,0.0,4982.0,AL
0.0,0.0,0.0,36.533319,-87.354081,Austin Peay State University,0.0,7033.0,TN
0.0,0.0,0.0,40.198942,-85.408863,Ball State University,0.0,18965.0,IN
1.0,1.0,0.0,47.584778,-122.149955,Bellevue College,0.0,11792.0,WA
1.0,1.0,0.0,47.482505,-94.874529,Bemidji State University,0.0,4664.0,MN
0.0,0.0,0.0,46.820657,-100.818485,Bismarck State College,0.0,3044.0,ND
0.0,0.0,0.0,44.495536,-103.870009,Black Hills State University,0.0,3921.0,SD
0.0,0.0,0.0,41.007989,-76.446383,Bloomsburg University of Pennsylvania,0.0,7914.0,PA
0.0,0.0,0.0,37.26688,-81.235428,Bluefield State College,0.0,2768.0,WV
4.0,4.0,0.0,43.604403,-116.205789,Boise State University,0.0,17100.0,ID
3.0,3.0,0.0,39.018185,-76.759721,Bowie State University,0.0,5181.0,MD
1.0,1.0,0.0,41.377036,-83.637531,Bowling Green State University-Main Campus,0.0,18739.0,OH
0.0,0.0,0.0,29.04836,-95.409004,Brazosport College,0.0,4022.0,TX
0.0,0.0,0.0,41.987785,-70.966058,Bridgewater State University,0.0,9038.0,MA
0.0,0.0,0.0,26.07972,-80.23541,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,26.07972,-80.23541,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,26.07972,-80.23541,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,26.07972,-80.23541,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,26.07972,-80.23541,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,35.29889,-120.65856,California Polytechnic State University-San Luis Obispo,0.0,18079.0,CA
0.0,0.0,0.0,34.054273,-117.819019,California State Polytechnic University-Pomona,0.0,19041.0,CA
0.0,0.0,0.0,35.350005,-119.104711,California State University-Bakersfield,0.0,7050.0,CA
0.0,0.0,0.0,34.162949,-119.04356,California State University-Channel Islands,0.0,,CA
0.0,0.0,0.0,39.728003,-121.846333,California State University-Chico,0.0,16704.0,CA
0.0,0.0,0.0,33.86524,-118.259316,California State University-Dominguez Hills,0.0,12871.0,CA
0.0,0.0,0.0,37.65707,-122.058073,California State University-East Bay,0.0,13240.0,CA
0.0,0.0,0.0,37.65707,-122.058073,California State University-East Bay,0.0,13240.0,CA
3.0,1.0,2.0,36.814477,-119.748258,California State University-Fresno,0.0,20007.0,CA
0.0,0.0,0.0,33.883627,-117.885349,California State University-Fullerton,0.0,30357.0,CA
0.0,0.0,0.0,33.883627,-117.885349,California State University-Fullerton,0.0,30357.0,CA
0.0,0.0,0.0,33.883627,-117.885349,California State University-Fullerton,0.0,30357.0,CA
0.0,0.0,0.0,33.883627,-117.885349,California State University-Fullerton,0.0,30357.0,CA
0.0,0.0,0.0,33.782752,-118.1123,California State University-Long Beach,0.0,33259.0,CA
0.0,0.0,0.0,34.066927,-118.168965,California State University-Los Angeles,0.0,20675.0,CA
0.0,0.0,0.0,36.653724,-121.799216,California State University-Monterey Bay,0.0,3020.0,CA
1.0,1.0,0.0,34.23671,-118.526817,California State University-Northridge,0.0,31448.0,CA
0.0,0.0,0.0,38.55745,-121.42194,California State University-Sacramento,0.0,26923.0,CA
0.0,0.0,0.0,34.182987,-117.322508,California State University-San Bernardino,0.0,15985.0,CA
0.0,0.0,0.0,33.129115,-117.158013,California State University-San Marcos,0.0,6496.0,CA
0.0,0.0,0.0,37.52577,-120.852511,California State University-Stanislaus,0.0,7534.0,CA
0.0,0.0,0.0,37.52577,-120.852511,California State University-Stanislaus,0.0,7534.0,CA
0.0,0.0,0.0,40.066473,-79.884477,California University of Pennsylvania,0.0,5948.0,PA
0.0,0.0,0.0,40.066473,-79.884477,California University of Pennsylvania,0.0,5948.0,PA
0.0,0.0,0.0,40.066473,-79.884477,California University of Pennsylvania,0.0,5948.0,PA
0.0,0.0,0.0,34.606487,-98.434163,Cameron University,0.0,5329.0,OK
0.0,0.0,0.0,43.607982,-73.181486,Castleton State College,0.0,1656.0,VT
0.0,0.0,0.0,41.690258,-72.770094,Central Connecticut State University,0.0,12368.0,CT
1.0,1.0,0.0,43.591137,-84.775275,Central Michigan University,0.0,27797.0,MI
0.0,0.0,0.0,39.716465,-83.876795,Central State University,0.0,1400.0,OH
1.0,1.0,0.0,47.004957,-120.537716,Central Washington University,0.0,8826.0,WA
1.0,1.0,0.0,47.004957,-120.537716,Central Washington University,0.0,8826.0,WA
1.0,1.0,0.0,47.004957,-120.537716,Central Washington University,0.0,8826.0,WA
0.0,0.0,0.0,46.716302,-122.960746,Centralia College,0.0,3045.0,WA
0.0,0.0,0.0,46.716302,-122.960746,Centralia College,0.0,3045.0,WA
0.0,0.0,0.0,46.716302,-122.960746,Centralia College,0.0,3045.0,WA
0.0,0.0,0.0,42.820672,-103.002793,Chadron State College,0.0,2804.0,NE
0.0,0.0,0.0,39.932293,-75.529378,Cheyney University of Pennsylvania,0.0,1514.0,PA
0.0,0.0,0.0,41.718813,-87.610344,Chicago State University,0.0,7079.0,IL
0.0,0.0,0.0,30.790647,-85.231946,Chipola College,0.0,1786.0,FL
0.0,0.0,0.0,37.061502,-76.486978,Christopher Newport University,0.0,5388.0,VA
0.0,0.0,0.0,32.796975,-79.961399,Citadel Military College of South Carolina,0.0,4001.0,SC
0.0,0.0,0.0,41.209676,-79.374775,Clarion University of Pennsylvania,0.0,6271.0,PA
1.0,1.0,0.0,33.594079,-84.328174,Clayton  State University,0.0,4674.0,GA
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,34.677329,-82.834463,Clemson University,0.0,17101.0,SC
0.0,0.0,0.0,41.502918,-81.673052,Cleveland State University,0.0,15701.0,OH
0.0,0.0,0.0,47.175477,-122.495524,Clover Park Technical College,0.0,7429.0,WA
0.0,0.0,0.0,33.794733,-79.0126,Coastal Carolina University,0.0,4965.0,SC
0.0,0.0,0.0,29.166079,-82.175692,College of Central Florida,0.0,5708.0,FL
5.0,5.0,0.0,32.783142,-79.937251,College of Charleston,0.0,11617.0,SC
5.0,5.0,0.0,32.783142,-79.937251,College of Charleston,0.0,11617.0,SC
0.0,0.0,0.0,31.136384,-81.492667,College of Coastal Georgia,0.0,2210.0,GA
0.0,0.0,0.0,31.136384,-81.492667,College of Coastal Georgia,0.0,2210.0,GA
0.0,0.0,0.0,36.158443,-115.233784,College of Southern Nevada,0.0,31851.0,NV
0.0,0.0,0.0,40.603949,-74.148701,College of Staten Island CUNY,0.0,11325.0,NY
0.0,0.0,0.0,37.27195,-76.709395,College of William and Mary,0.0,7489.0,VA
0.0,0.0,0.0,39.076354,-108.540281,Colorado Mesa University,0.0,5302.0,CO
0.0,0.0,0.0,39.54636,-107.324391,Colorado Mountain College,0.0,6618.0,CO
0.0,0.0,0.0,39.75079,-105.227148,Colorado School of Mines,0.0,3705.0,CO
6.0,3.0,3.0,40.574759,-105.08083,Colorado State University-Fort Collins,0.0,28103.0,CO
0.0,0.0,0.0,38.309219,-104.579846,Colorado State University-Pueblo,0.0,5606.0,CO
0.0,0.0,0.0,46.251547,-119.118609,Columbia Basin College,0.0,6043.0,WA
0.0,0.0,0.0,32.501556,-84.940796,Columbus State University,0.0,5515.0,GA
0.0,0.0,0.0,37.423854,-81.005694,Concord University,0.0,3072.0,WV
0.0,0.0,0.0,39.310786,-76.658547,Coppin State University,0.0,4032.0,MD
