VAWA Offenses - Noncampus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,177834,A T Still University of Health Sciences,1,Missouri Campus,3226,0,0,0
2014,177834,A T Still University of Health Sciences,2,Arizona Campus,3226,0,0,0
2014,222178,Abilene Christian University,1,MAIN - ABILENE CAMPUS,4427,0,0,0
2014,222178,Abilene Christian University,2,ACU- City Square Dallas,4427,0,0,0
2014,210508,Academy of Vocal Arts,1,Academy of Vocal Arts,28,0,0,0
2014,133872,Adventist University of Health Sciences,1,Main Campus,2090,0,0,0
2014,102669,Alaska Pacific University,1,Main Campus,579,0,0,0
2014,188580,Albany Medical College,1,Albany Medical College,823,0,0,0
2014,168546,Albion College,1,Main Campus,1268,0,0,0
2014,237118,Alderson Broaddus University,1,Main Campus,1108,0,0,0
2014,156189,Alice Lloyd College,1,Main Campus,657,0,0,0
2014,110468,Alliant International University-San Diego,1,San Diego Campus,3957,0,0,0
2014,210775,Alvernia University,1,Main Campus,2917,0,0,0
2014,219505,American Baptist College,1,American Baptist College,157,0,0,0
2014,430591,American College of Traditional Chinese Medicine,1,Main Campus,240,0,0,0
2014,109086,American Conservatory Theater,1,Main Campus,48,0,0,0
2014,103787,American Indian College Inc,1,Main Campus,91,0,0,0
2014,164447,American International College,1,American International College,3629,0,0,0
2014,188854,American Musical and Dramatic Academy,1,Main Campus,1735,0,0,0
2014,188854,American Musical and Dramatic Academy,2,Los Angeles campus,1735,0,0,0
2014,131159,American University,1,Main Campus,13061,1,1,2
2014,131159,American University,4,AU Nairobi,13061,0,0,0
2014,164465,Amherst College,1,Main Campus,1792,0,0,0
2014,217633,Anderson University,1,Main Campus,3112,0,0,0
2014,168740,Andrews University,1,Main Campus,3418,0,0,0
2014,245838,Antioch University-Los Angeles,1,Main Campus,1017,0,0,0
2014,245865,Antioch University-New England,1,Main Campus,705,0,0,0
2014,168786,Aquinas College,1,Main Campus,1933,0,0,0
2014,219578,Aquinas College,1,Aquinas College,472,0,0,0
2014,211088,Arcadia University,1,Main Campus,3939,0,0,0
2014,211088,Arcadia University,2,King of Prussia,3939,0,0,0
2014,211088,Arcadia University,3,Christiana,3939,0,0,0
2014,105899,Arizona Christian University,1,Main Campus,737,0,0,0
2014,106306,Arkansas Baptist College,1,Arkansas Baptist College,899,0,0,0
2014,156213,Asbury University,1,ASBURY UNIVERSITY,1879,0,0,0
2014,201104,Ashland University,1,Ashland University,5737,0,0,0
2014,201104,Ashland University,10,Ashland Theological Seminary - Cleveland Center,5737,0,0,0
2014,173045,Augsburg College,1,Main Campus,3548,0,0,0
2014,143084,Augustana College,1,Main Campus,2497,0,0,0
2014,222983,Austin College,1,Main Campus,1301,0,0,0
2014,446048,Ave Maria University,1,Ave Maria University,1081,0,0,0
2014,231420,Averett University,1,Main Campus,872,0,0,0
2014,449931,Averett University-Non-Traditional Programs,1,GPS-Main Campus,1118,0,0,0
2014,449931,Averett University-Non-Traditional Programs,2,GPS-Chesapeake,1118,0,0,0
2014,449931,Averett University-Non-Traditional Programs,4,Richmond,1118,0,0,0
2014,109785,Azusa Pacific University,1,Azusa (main campus),9972,0,0,0
2014,164580,Babson College,1,Main Campus,3049,0,0,0
