Criminal Offenses - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,177834,A T Still University of Health Sciences,1,Missouri Campus,1140,0,0,0,,,0,,,0,0,0,0,0
2001,222178,Abilene Christian University,1,MAIN - ABILENE CAMPUS,4673,0,0,1,,,0,,,0,0,5,0,0
2001,108269,Academy of Chinese Culture and Health Sciences,1,Main Campus,177,0,0,0,,,0,,,0,0,0,0,0
2001,210508,Academy of Vocal Arts,1,Academy of Vocal Arts,25,0,0,0,,,0,,,0,0,0,0,0
2001,384306,Acupuncture and Integrative Medicine College-Berkeley,1,Acupuncture and Integrative Medicine College- Berkeley,61,0,0,0,,,0,,,0,0,0,0,0
2001,188429,Adelphi University,1,Main Campus,6433,0,0,0,,,0,,,0,5,3,0,0
2001,188429,Adelphi University,2,Adelphi- Manhattan Center,6433,0,0,0,,,0,,,0,0,1,0,0
2001,188429,Adelphi University,4,Adelphi- Hudson Valley Center,6433,0,0,0,,,0,,,0,0,0,0,0
2001,188429,Adelphi University,5,Hauppauge Center,6433,0,0,0,,,0,,,0,0,0,0,0
2001,374024,Adler Graduate School,1,Main Campus,168,0,0,0,,,0,,,0,0,0,0,0
2001,142832,Adler University,1,Chicago Campus,408,0,0,0,,,0,,,0,0,0,0,0
2001,168528,Adrian College,1,Main Campus,1054,0,0,4,,,0,,,0,1,2,0,1
2001,133872,Adventist University of Health Sciences,1,Main Campus,746,0,0,0,,,0,,,5,0,0,1,0
2001,138600,Agnes Scott College,1,Main Campus,885,0,0,0,,,0,,,0,0,5,3,0
2001,152822,AIB College of Business,1,Main Campus,887,0,0,0,,,0,,,0,3,1,1,0
2001,102669,Alaska Pacific University,1,Main Campus,653,0,0,0,,,0,,,0,2,1,0,0
2001,188526,Albany College of Pharmacy and Health Sciences,1,Albany College of Pharmacy and Health Sciences,712,0,0,0,,,0,,,0,0,0,0,0
2001,188535,Albany Law School,1,Main Campus,773,0,0,0,,,0,,,1,0,0,0,0
2001,188580,Albany Medical College,1,Albany Medical College,633,0,0,0,,,0,,,0,0,0,0,0
2001,128498,Albertus Magnus College,1,Main Campus,2269,0,0,0,,,0,,,0,0,10,0,0
2001,168546,Albion College,1,Main Campus,1546,0,0,4,,,0,,,1,3,6,1,4
2001,210571,Albright College,1,ALBRIGHT COLLEGE,1814,0,0,1,,,0,,,0,0,4,1,0
2001,237118,Alderson Broaddus University,1,Main Campus,802,0,0,1,,,0,,,0,0,2,0,0
2001,188641,Alfred University,1,Main Campus,1620,0,0,0,,,0,,,0,1,4,0,0
2001,156189,Alice Lloyd College,1,Main Campus,565,0,0,0,,,1,,,0,0,3,0,0
