Combined,Forible,Non-forcible,lats,lons,name,perc,size,state
0.0,0.0,0.0,40.193648,-92.589183,A T Still University of Health Sciences,0.0,1140.0,MO
1.0,1.0,0.0,32.46915,-99.70954,Abilene Christian University,0.0,4673.0,TX
0.0,0.0,0.0,37.806143,-122.270022,Academy of Chinese Culture and Health Sciences,0.0,177.0,CA
0.0,0.0,0.0,39.947863,-75.173683,Academy of Vocal Arts,0.0,25.0,PA
0.0,0.0,0.0,37.862754,-122.267636,Acupuncture and Integrative Medicine College-Berkeley,0.0,61.0,CA
0.0,0.0,0.0,40.721439,-73.653321,Adelphi University,0.0,6433.0,NY
0.0,0.0,0.0,40.721439,-73.653321,Adelphi University,0.0,6433.0,NY
0.0,0.0,0.0,40.721439,-73.653321,Adelphi University,0.0,6433.0,NY
0.0,0.0,0.0,40.721439,-73.653321,Adelphi University,0.0,6433.0,NY
0.0,0.0,0.0,44.862865,-93.252532,Adler Graduate School,0.0,168.0,MN
0.0,0.0,0.0,41.88232,-87.628651,Adler University,0.0,408.0,IL
4.0,4.0,0.0,41.898449,-84.059947,Adrian College,0.0,1054.0,MI
0.0,0.0,0.0,28.576142,-81.367687,Adventist University of Health Sciences,0.0,746.0,FL
0.0,0.0,0.0,33.769996,-84.29563,Agnes Scott College,0.0,885.0,GA
0.0,0.0,0.0,41.561953,-93.645694,AIB College of Business,0.0,887.0,IA
0.0,0.0,0.0,61.191235,-149.804242,Alaska Pacific University,0.0,653.0,AK
0.0,0.0,0.0,42.652559,-73.778132,Albany College of Pharmacy and Health Sciences,0.0,712.0,NY
0.0,0.0,0.0,42.651264,-73.777692,Albany Law School,0.0,773.0,NY
0.0,0.0,0.0,42.653178,-73.773975,Albany Medical College,0.0,633.0,NY
0.0,0.0,0.0,41.332519,-72.923848,Albertus Magnus College,0.0,2269.0,CT
4.0,4.0,0.0,42.244603,-84.746088,Albion College,0.0,1546.0,MI
1.0,1.0,0.0,40.360248,-75.910152,Albright College,0.0,1814.0,PA
1.0,1.0,0.0,39.158067,-80.047728,Alderson Broaddus University,0.0,802.0,WV
0.0,0.0,0.0,42.255866,-77.788625,Alfred University,0.0,1620.0,NY
1.0,0.0,1.0,37.335087,-82.875068,Alice Lloyd College,0.0,565.0,KY
3.0,1.0,2.0,41.648068,-80.146922,Allegheny College,0.0,1879.0,PA
0.0,0.0,0.0,40.867236,-80.860091,Allegheny Wesleyan College,0.0,80.0,OH
0.0,0.0,0.0,42.531427,-92.338018,Allen College,0.0,259.0,IA
0.0,0.0,0.0,34.010348,-81.020045,Allen University,0.0,1226.0,SC
0.0,0.0,0.0,32.897056,-117.094398,Alliant International University-San Diego,0.0,1916.0,CA
2.0,2.0,0.0,43.379236,-84.670073,Alma College,0.0,1371.0,MI
0.0,0.0,0.0,40.3102,-75.938163,Alvernia University,0.0,1815.0,PA
0.0,0.0,0.0,42.983518,-87.965498,Alverno College,0.0,1952.0,WI
0.0,0.0,0.0,36.201155,-86.789301,American Baptist College,0.0,115.0,TN
0.0,0.0,0.0,37.865252,-122.256149,American Baptist Seminary of the West,0.0,76.0,CA
0.0,0.0,0.0,37.760503,-122.398242,American College of Traditional Chinese Medicine,0.0,236.0,CA
0.0,0.0,0.0,37.787326,-122.404945,American Conservatory Theater,0.0,52.0,CA
0.0,0.0,0.0,34.10846,-118.309989,American Film Institute Conservatory,0.0,288.0,CA
0.0,0.0,0.0,33.577738,-112.092247,American Indian College Inc,0.0,74.0,AZ
1.0,1.0,0.0,42.112708,-72.558507,American International College,0.0,1515.0,MA
