case,lats,lons,name,size
0.0,31.481889,-83.528281,Abraham Baldwin Agricultural College,2855.0
0.0,31.481889,-83.528281,Abraham Baldwin Agricultural College,2855.0
0.0,34.783368,-86.568502,Alabama A & M University,5849.0
0.0,32.364317,-86.295677,Alabama State University,5590.0
0.0,31.571395,-84.14306,Albany State University,3456.0
0.0,31.877216,-91.142854,Alcorn State University,3096.0
0.0,31.44145,-100.466495,Angelo State University,6266.0
0.0,36.201658,-81.662569,Appalachian State University,13762.0
0.0,35.842779,-90.680478,Arkansas State University-Main Campus,10568.0
0.0,35.295227,-93.13233,Arkansas Tech University,5576.0
0.0,34.805625,-86.96514,Athens State University,2574.0
0.0,32.600201,-85.492409,Auburn University,22469.0
0.0,32.369939,-86.177351,Auburn University at Montgomery,4982.0
0.0,33.476464,-82.02195,Augusta State University,5382.0
0.0,36.533319,-87.354081,Austin Peay State University,7033.0
0.0,40.198942,-85.408863,Ball State University,18965.0
1.0,47.584778,-122.149955,Bellevue College,11792.0
1.0,47.482505,-94.874529,Bemidji State University,4664.0
0.0,46.821459,-100.816534,Bismarck State College,3044.0
0.0,44.495536,-103.870009,Black Hills State University,3921.0
0.0,41.007989,-76.446383,Bloomsburg University of Pennsylvania,7914.0
0.0,37.26688,-81.235428,Bluefield State College,2768.0
4.0,43.604403,-116.205789,Boise State University,17100.0
3.0,39.018185,-76.759721,Bowie State University,5181.0
1.0,41.377036,-83.637531,Bowling Green State University-Main Campus,18739.0
0.0,29.04836,-95.409004,Brazosport College,4022.0
0.0,41.987785,-70.966058,Bridgewater State University,9038.0
0.0,26.07972,-80.23541,Broward College,29020.0
0.0,26.07972,-80.23541,Broward College,29020.0
0.0,26.07972,-80.23541,Broward College,29020.0
0.0,26.07972,-80.23541,Broward College,29020.0
0.0,26.07972,-80.23541,Broward College,29020.0
0.0,35.29889,-120.65856,California Polytechnic State University-San Luis Obispo,18079.0
0.0,34.054273,-117.819019,California State Polytechnic University-Pomona,19041.0
0.0,35.350005,-119.104711,California State University-Bakersfield,7050.0
0.0,34.162949,-119.04356,California State University-Channel Islands,
0.0,39.728003,-121.846333,California State University-Chico,16704.0
0.0,33.86524,-118.259316,California State University-Dominguez Hills,12871.0
0.0,37.65707,-122.058073,California State University-East Bay,13240.0
0.0,37.65707,-122.058073,California State University-East Bay,13240.0
1.0,36.814477,-119.748258,California State University-Fresno,20007.0
0.0,33.883627,-117.885349,California State University-Fullerton,30357.0
0.0,33.883627,-117.885349,California State University-Fullerton,30357.0
0.0,33.883627,-117.885349,California State University-Fullerton,30357.0
0.0,33.883627,-117.885349,California State University-Fullerton,30357.0
0.0,33.782752,-118.1123,California State University-Long Beach,33259.0
0.0,34.066927,-118.168965,California State University-Los Angeles,20675.0
0.0,36.653724,-121.799216,California State University-Monterey Bay,3020.0
1.0,34.23671,-118.526817,California State University-Northridge,31448.0
0.0,38.55745,-121.42194,California State University-Sacramento,26923.0
0.0,34.182987,-117.322508,California State University-San Bernardino,15985.0
0.0,33.129115,-117.158013,California State University-San Marcos,6496.0
0.0,37.52577,-120.852511,California State University-Stanislaus,7534.0
0.0,37.52577,-120.852511,California State University-Stanislaus,7534.0
0.0,40.066473,-79.884477,California University of Pennsylvania,5948.0
0.0,40.066473,-79.884477,California University of Pennsylvania,5948.0
0.0,40.066473,-79.884477,California University of Pennsylvania,5948.0
0.0,34.606487,-98.434163,Cameron University,5329.0
0.0,43.607982,-73.181486,Castleton State College,1656.0
0.0,41.690258,-72.770094,Central Connecticut State University,12368.0
1.0,43.610947,-84.776729,Central Michigan University,27797.0
0.0,39.716465,-83.876795,Central State University,1400.0
1.0,47.004957,-120.537716,Central Washington University,8826.0
1.0,47.004957,-120.537716,Central Washington University,8826.0
1.0,47.004957,-120.537716,Central Washington University,8826.0
0.0,46.716302,-122.960746,Centralia College,3045.0
0.0,46.716302,-122.960746,Centralia College,3045.0
