Combined,Forible,Non-forcible,lats,lons,name,perc,size,state
0.0,0.0,0.0,46.861074,-113.98294,A T Still University of Health Sciences,0.0,1140.0,MT
1.0,1.0,0.0,29.738113,-95.394178,Abilene Christian University,0.0,4673.0,TX
0.0,0.0,0.0,34.095315,-118.344097,Academy of Chinese Culture and Health Sciences,0.0,177.0,CA
0.0,0.0,0.0,40.997882,-80.348206,Academy of Vocal Arts,0.0,25.0,PA
0.0,0.0,0.0,47.396282,-94.653182,Acupuncture and Integrative Medicine College-Berkeley,0.0,61.0,MN
0.0,0.0,0.0,40.757512,-73.980644,Adelphi University,0.0,6433.0,NY
0.0,0.0,0.0,40.757512,-73.980644,Adelphi University,0.0,6433.0,NY
0.0,0.0,0.0,40.757512,-73.980644,Adelphi University,0.0,6433.0,NY
0.0,0.0,0.0,40.757512,-73.980644,Adelphi University,0.0,6433.0,NY
0.0,0.0,0.0,36.296571,-86.701318,Adler Graduate School,0.0,168.0,TN
4.0,4.0,0.0,43.02195,-85.592657,Adrian College,0.0,1054.0,MI
0.0,0.0,0.0,34.77496,-85.00289,Agnes Scott College,0.0,885.0,GA
0.0,0.0,0.0,41.261088,-95.851059,AIB College of Business,0.0,887.0,IA
0.0,0.0,0.0,61.191235,-149.804242,Alaska Pacific University,0.0,653.0,AK
0.0,0.0,0.0,43.047809,-75.408853,Albany College of Pharmacy and Health Sciences,0.0,712.0,NY
0.0,0.0,0.0,42.454023,-75.073609,Albany Law School,0.0,773.0,NY
0.0,0.0,0.0,40.802506,-73.943009,Albany Medical College,0.0,633.0,NY
0.0,0.0,0.0,41.769861,-72.707766,Albertus Magnus College,0.0,2269.0,CT
4.0,4.0,0.0,42.741855,-84.605807,Albion College,0.0,1546.0,MI
1.0,1.0,0.0,40.086409,-75.103749,Albright College,0.0,1814.0,PA
0.0,0.0,0.0,43.032586,-75.007367,Alfred University,0.0,1620.0,NY
1.0,0.0,1.0,38.057203,-84.72956,Alice Lloyd College,0.0,565.0,KY
3.0,1.0,2.0,40.443961,-80.000297,Allegheny College,0.0,1879.0,PA
0.0,0.0,0.0,39.996635,-81.737192,Allegheny Wesleyan College,0.0,80.0,OH
0.0,0.0,0.0,42.443573,-96.369994,Allen College,0.0,259.0,IA
0.0,0.0,0.0,36.581284,-83.658818,Allen University,0.0,1226.0,TN
0.0,0.0,0.0,36.814477,-119.748258,Alliant International University,0.0,359.0,CA
0.0,0.0,0.0,36.814477,-119.748258,Alliant International University,0.0,359.0,CA
0.0,0.0,0.0,36.814477,-119.748258,Alliant International University,0.0,359.0,CA
2.0,2.0,0.0,42.375248,-83.111682,Alma College,0.0,1371.0,MI
0.0,0.0,0.0,39.950733,-75.164366,Alvernia University,0.0,1815.0,PA
0.0,0.0,0.0,18.367405,-66.154522,Alverno College,0.0,1952.0,PR
0.0,0.0,0.0,31.119054,-97.809704,American Baptist College,0.0,115.0,TX
0.0,0.0,0.0,38.649734,-121.346012,American Baptist Seminary of the West,0.0,76.0,CA
0.0,0.0,0.0,43.12625,-77.797762,American College of Traditional Chinese Medicine,0.0,236.0,NY
0.0,0.0,0.0,32.715658,-117.158203,American Conservatory Theater,0.0,52.0,CA
0.0,0.0,0.0,34.676207,-118.186166,American Film Institute Conservatory,0.0,288.0,CA
1.0,1.0,0.0,42.373635,-71.056518,American International College,0.0,1515.0,MA
0.0,0.0,0.0,33.831741,-118.135819,American Jewish University,0.0,229.0,CA
0.0,0.0,0.0,40.727856,-73.503403,American Musical and Dramatic Academy,0.0,615.0,NY
5.0,5.0,0.0,26.07972,-80.23541,American University,0.0,10692.0,FL
5.0,5.0,0.0,26.07972,-80.23541,American University,0.0,10692.0,FL
5.0,5.0,0.0,42.525056,-71.273966,Amherst College,0.0,1640.0,MA
0.0,0.0,0.0,32.362609,-86.17401,Amridge University,0.0,388.0,AL
0.0,0.0,0.0,39.688509,-86.165937,Anderson University,0.0,2427.0,IN
0.0,0.0,0.0,39.688509,-86.165937,Anderson University,0.0,2427.0,IN
0.0,0.0,0.0,39.688509,-86.165937,Anderson University,0.0,2427.0,IN
0.0,0.0,0.0,39.688509,-86.165937,Anderson University,0.0,2427.0,IN
0.0,0.0,0.0,42.550416,-70.876419,Andover Newton Theological School,0.0,396.0,MA
1.0,0.0,1.0,42.419279,-83.430958,Andrews University,0.0,2721.0,MI
2.0,2.0,0.0,42.257588,-72.573625,Anna Maria College,0.0,1264.0,MA
0.0,0.0,0.0,34.185397,-97.083164,Antioch University-Los Angeles,0.0,588.0,OK
0.0,0.0,0.0,35.509208,-97.881967,Antioch University-Midwest,0.0,628.0,OK
0.0,0.0,0.0,36.419122,-97.89719,Antioch University-New England,0.0,910.0,OK
0.0,0.0,0.0,31.786918,-106.411961,Antioch University-Santa Barbara,0.0,296.0,TX
0.0,0.0,0.0,39.769591,-83.946096,Antioch University-Seattle,0.0,816.0,OH
