Combined,Forible,Non-forcible,lats,lons,name,perc,size,state
0.0,0.0,0.0,34.224673,-85.171361,Abraham Baldwin Agricultural College,0.0,2855.0,GA
0.0,0.0,0.0,34.224673,-85.171361,Abraham Baldwin Agricultural College,0.0,2855.0,GA
0.0,0.0,0.0,34.783368,-86.568502,Alabama A & M University,0.0,5849.0,AL
0.0,0.0,0.0,32.364317,-86.295677,Alabama State University,0.0,5590.0,AL
0.0,0.0,0.0,33.798836,-84.325782,Albany State University,0.0,3456.0,GA
0.0,0.0,0.0,38.468301,-91.811298,Alcorn State University,0.0,3096.0,MO
0.0,0.0,0.0,26.233242,-98.242566,Angelo State University,0.0,6266.0,TX
0.0,0.0,0.0,36.135301,-80.279004,Appalachian State University,0.0,13762.0,NC
0.0,0.0,0.0,34.713115,-92.40692,Arkansas State University-Main Campus,0.0,10568.0,AR
0.0,0.0,0.0,36.239793,-90.951033,Arkansas Tech University,0.0,5576.0,AR
0.0,0.0,0.0,34.805625,-86.96514,Athens State University,0.0,2574.0,AL
0.0,0.0,0.0,32.600201,-85.492409,Auburn University,0.0,22469.0,AL
0.0,0.0,0.0,32.369939,-86.177351,Auburn University at Montgomery,0.0,4982.0,AL
0.0,0.0,0.0,33.255438,-84.291662,Augusta State University,0.0,5382.0,GA
0.0,0.0,0.0,30.420952,-97.836247,Austin Peay State University,0.0,7033.0,TX
1.0,1.0,0.0,39.81534,-86.204599,Ball State University,0.0,18965.0,IN
0.0,0.0,0.0,43.785224,-88.417656,Bellevue College,0.0,11792.0,WI
0.0,0.0,0.0,30.383561,-89.077063,Bemidji State University,0.0,4664.0,MS
0.0,0.0,0.0,40.868568,-81.43731,Bismarck State College,0.0,3044.0,OH
0.0,0.0,0.0,35.18841,-101.847104,Black Hills State University,0.0,3921.0,TX
0.0,0.0,0.0,40.295316,-78.872312,Bloomsburg University of Pennsylvania,0.0,7914.0,PA
0.0,0.0,0.0,18.148339,-65.826368,Bluefield State College,0.0,2768.0,PR
0.0,0.0,0.0,41.780253,-87.643425,Boise State University,0.0,17100.0,IL
0.0,0.0,0.0,42.08736,-70.991415,Bowie State University,0.0,5181.0,MA
0.0,0.0,0.0,39.70638,-84.205625,Bowling Green State University-Main Campus,0.0,18739.0,OH
0.0,0.0,0.0,29.311333,-94.776401,Brazosport College,0.0,4022.0,TX
0.0,0.0,0.0,42.319568,-71.156973,Bridgewater State University,0.0,9038.0,MA
0.0,0.0,0.0,30.534939,-87.220615,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,30.534939,-87.220615,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,30.534939,-87.220615,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,30.534939,-87.220615,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,30.534939,-87.220615,Broward College,0.0,29020.0,FL
0.0,0.0,0.0,33.86524,-118.259316,California Polytechnic State University-San Luis Obispo,0.0,18079.0,CA
0.0,0.0,0.0,34.23671,-118.526817,California State Polytechnic University-Pomona,0.0,19041.0,CA
0.0,0.0,0.0,33.883627,-117.885349,California State University-Bakersfield,0.0,7050.0,CA
0.0,0.0,0.0,47.909189,-122.221962,California State University-Channel Islands,0.0,,WA
5.0,5.0,0.0,38.55745,-121.42194,California State University-Chico,0.0,16704.0,CA
0.0,0.0,0.0,37.871519,-122.260401,California State University-Dominguez Hills,0.0,12871.0,CA
0.0,0.0,0.0,34.068892,-118.443901,California State University-East Bay,0.0,13240.0,CA
0.0,0.0,0.0,34.068892,-118.443901,California State University-East Bay,0.0,13240.0,CA
0.0,0.0,0.0,38.539895,-121.751958,California State University-Fresno,0.0,20007.0,CA
0.0,0.0,0.0,33.648434,-117.841248,California State University-Fullerton,0.0,30357.0,CA
0.0,0.0,0.0,33.648434,-117.841248,California State University-Fullerton,0.0,30357.0,CA
0.0,0.0,0.0,33.648434,-117.841248,California State University-Fullerton,0.0,30357.0,CA
0.0,0.0,0.0,33.648434,-117.841248,California State University-Fullerton,0.0,30357.0,CA
0.0,0.0,0.0,33.97588,-117.331098,California State University-Long Beach,0.0,33259.0,CA
0.0,0.0,0.0,32.876598,-117.237793,California State University-Los Angeles,0.0,20675.0,CA
0.0,0.0,0.0,32.996687,-82.839621,California State University-Monterey Bay,0.0,3020.0,GA
0.0,0.0,0.0,37.762736,-122.458049,California State University-Northridge,0.0,31448.0,CA
3.0,3.0,0.0,34.415402,-119.848031,California State University-Sacramento,0.0,26923.0,CA
2.0,2.0,0.0,34.066927,-118.168965,California State University-San Bernardino,0.0,15985.0,CA
0.0,0.0,0.0,36.669595,-121.655643,California State University-San Marcos,0.0,6496.0,CA
0.0,0.0,0.0,37.65707,-122.058073,California State University-Stanislaus,0.0,7534.0,CA
0.0,0.0,0.0,37.65707,-122.058073,California State University-Stanislaus,0.0,7534.0,CA
0.0,0.0,0.0,41.440258,-75.620583,California University of Pennsylvania,0.0,5948.0,PA
0.0,0.0,0.0,41.440258,-75.620583,California University of Pennsylvania,0.0,5948.0,PA
0.0,0.0,0.0,41.440258,-75.620583,California University of Pennsylvania,0.0,5948.0,PA
0.0,0.0,0.0,40.540137,-75.376549,Cameron University,0.0,5329.0,PA
0.0,0.0,0.0,47.66791,-117.417046,Castleton State College,0.0,1656.0,WA
0.0,0.0,0.0,41.328075,-72.095337,Central Connecticut State University,0.0,12368.0,CT
1.0,1.0,0.0,42.573888,-83.147197,Central Michigan University,0.0,27797.0,MI
0.0,0.0,0.0,38.525115,-82.666894,Central State University,0.0,1400.0,OH
0.0,0.0,0.0,45.58114,-88.095933,Central Washington University,0.0,8826.0,WI
0.0,0.0,0.0,45.58114,-88.095933,Central Washington University,0.0,8826.0,WI
0.0,0.0,0.0,45.58114,-88.095933,Central Washington University,0.0,8826.0,WI
0.0,0.0,0.0,46.578983,-90.874991,Centralia College,0.0,3045.0,WI
0.0,0.0,0.0,46.578983,-90.874991,Centralia College,0.0,3045.0,WI
0.0,0.0,0.0,46.578983,-90.874991,Centralia College,0.0,3045.0,WI
0.0,0.0,0.0,40.873434,-74.130171,Chadron State College,0.0,2804.0,NJ
0.0,0.0,0.0,39.948498,-79.654944,Cheyney University of Pennsylvania,0.0,1514.0,PA
0.0,0.0,0.0,38.733906,-88.095764,Chicago State University,0.0,7079.0,IL
0.0,0.0,0.0,30.4421,-84.294801,Chipola College,0.0,1786.0,FL
0.0,0.0,0.0,46.135905,-122.934826,Christopher Newport University,0.0,5388.0,WA
98.0,37.0,61.0,35.13919,-89.946183,Citadel Military College of South Carolina,0.0,4001.0,TN
0.0,0.0,0.0,40.344474,-79.827262,Clarion University of Pennsylvania,0.0,6271.0,PA
0.0,0.0,0.0,33.74793,-84.415156,Clayton  State University,0.0,4674.0,GA
0.0,0.0,0.0,36.252997,-86.683396,Clemson University,0.0,17101.0,TN
0.0,0.0,0.0,36.252997,-86.683396,Clemson University,0.0,17101.0,TN
0.0,0.0,0.0,36.252997,-86.683396,Clemson University,0.0,17101.0,TN
